task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
47	45/a463c0	3908646	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (26)	CACHED	0	2024-10-19 07:56:43.979	3.2s	2.7s	128.3%	124.9 MB	130.1 MB	183.3 MB	139.4 MB
44	4d/c93504	3909825	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (23)	CACHED	0	2024-10-19 07:56:46.058	3.7s	3.2s	114.9%	8 MB	15.1 MB	183.4 MB	139.5 MB
54	26/110770	3910479	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (33)	CACHED	0	2024-10-19 07:56:47.589	3.9s	3.3s	111.0%	124.7 MB	129.8 MB	183.1 MB	139.3 MB
43	63/c7133d	3906675	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (22)	CACHED	0	2024-10-19 07:56:40.437	3.5s	3.2s	115.8%	9.1 MB	16.7 MB	183.2 MB	139.3 MB
46	c4/498cfa	3907078	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (25)	CACHED	0	2024-10-19 07:56:41.063	3.1s	2.7s	133.8%	78.1 MB	83.2 MB	183.2 MB	139.4 MB
59	76/80c993	3912972	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (38)	CACHED	0	2024-10-19 07:56:51.993	4s	3.6s	101.6%	124.4 MB	129.8 MB	183.1 MB	139.3 MB
45	10/704622	3906809	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (24)	CACHED	0	2024-10-19 07:56:40.731	3.1s	2.8s	130.0%	124.9 MB	130.1 MB	183.2 MB	139.4 MB
61	4d/168b6f	3913770	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (40)	CACHED	0	2024-10-19 07:56:54.113	3.2s	2.7s	131.1%	53.6 MB	58.8 MB	183.2 MB	139.4 MB
58	f0/afc1f6	3912596	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (37)	CACHED	0	2024-10-19 07:56:51.477	4.2s	3.8s	98.7%	124.7 MB	130.1 MB	183.3 MB	139.4 MB
50	e6/55cacb	3908076	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (29)	CACHED	0	2024-10-19 07:56:42.982	3.1s	2.7s	131.9%	60.3 MB	65.6 MB	183.1 MB	139.3 MB
60	cd/351d2a	3913480	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (39)	CACHED	0	2024-10-19 07:56:53.684	3.3s	2.7s	131.4%	86.6 MB	91.7 MB	183.3 MB	139.5 MB
48	e7/dca114	3894220	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (27)	CACHED	0	2024-10-19 07:56:14.968	3.4s	2.7s	130.4%	123.9 MB	129.1 MB	182.9 MB	139.1 MB
38	7c/869124	3906185	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (21)	CACHED	0	2024-10-19 07:56:39.714	3.3s	2.7s	132.4%	71.5 MB	76.6 MB	183.3 MB	139.4 MB
53	6d/a02d95	3910390	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (32)	CACHED	0	2024-10-19 07:56:47.350	3.4s	2.8s	128.5%	92.6 MB	97.6 MB	183.1 MB	139.3 MB
52	d2/50bcf1	3910326	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (31)	CACHED	0	2024-10-19 07:56:47.193	3.5s	2.8s	127.4%	124.4 MB	130 MB	183.2 MB	139.4 MB
49	30/a0a1f3	3907556	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (28)	CACHED	0	2024-10-19 07:56:41.508	3.3s	2.7s	131.0%	124.7 MB	129.8 MB	183.1 MB	139.3 MB
63	d5/c062a5	3914594	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (42)	CACHED	0	2024-10-19 07:56:55.661	3.1s	2.7s	133.9%	124.3 MB	129.4 MB	183 MB	139.2 MB
62	96/c35c23	3913772	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (41)	CACHED	0	2024-10-19 07:56:54.121	3.2s	2.7s	131.6%	74.4 MB	79.5 MB	183.3 MB	139.4 MB
56	31/2f36ef	3911689	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (35)	CACHED	0	2024-10-19 07:56:49.790	3.9s	3.3s	109.3%	8.1 MB	15.1 MB	183 MB	139.2 MB
42	0d/5ecd91	3905212	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:PREPROCESSING (21)	CACHED	0	2024-10-19 07:56:37.421	3.3s	2.8s	132.1%	133.5 MB	138.6 MB	183.5 MB	139.1 MB
