"","sample","healthy","nbl","tool","unknown","reference","DMRtool","direction","top","collapse_approach","min_cpgs","min_counts"
"82","20M_mix_Bmap_CLBGA_0-01_rep29",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"83","20M_mix_Bmap_CLBGA_0-01_rep3",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"84","20M_mix_Bmap_CLBGA_0-01_rep30",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"85","20M_mix_Bmap_CLBGA_0-01_rep31",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"86","20M_mix_Bmap_CLBGA_0-01_rep32",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"87","20M_mix_Bmap_CLBGA_0-01_rep33",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"88","20M_mix_Bmap_CLBGA_0-01_rep34",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"89","20M_mix_Bmap_CLBGA_0-01_rep35",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"90","20M_mix_Bmap_CLBGA_0-01_rep36",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"91","20M_mix_Bmap_CLBGA_0-01_rep37",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"92","20M_mix_Bmap_CLBGA_0-01_rep38",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"93","20M_mix_Bmap_CLBGA_0-01_rep39",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"94","20M_mix_Bmap_CLBGA_0-01_rep4",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"95","20M_mix_Bmap_CLBGA_0-01_rep40",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"96","20M_mix_Bmap_CLBGA_0-01_rep41",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"97","20M_mix_Bmap_CLBGA_0-01_rep42",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"98","20M_mix_Bmap_CLBGA_0-01_rep43",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"99","20M_mix_Bmap_CLBGA_0-01_rep44",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"100","20M_mix_Bmap_CLBGA_0-01_rep45",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"101","20M_mix_Bmap_CLBGA_0-01_rep46",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"102","20M_mix_Bmap_CLBGA_0-01_rep47",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"103","20M_mix_Bmap_CLBGA_0-01_rep48",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"104","20M_mix_Bmap_CLBGA_0-01_rep49",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
