sample,LMC1,LMC2,tool,V1,V2,min_cpgs,min_counts
20M_mix_Bmap_CLBGA_0-11_rep22,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep23,0.0005664967512359,0.999433503248764,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep24,0.0004652596282959,0.999534740371704,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep25,0.0011150546462739,0.998884945353726,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep26,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep27,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep28,0.0012953852081571,0.998704614791843,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep29,0.0003598299591271,0.999640170040873,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep3,0.0001931001079978,0.999806899892002,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep30,0.0002420050212746,0.999757994978725,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep31,0.0011594692665719,0.998840530733428,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep32,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep33,0.0001260224753023,0.999873977524698,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep34,0.00059393832471,0.99940606167529,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep35,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep36,0.0001097855611591,0.999890214438841,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep37,0.0003656076273507,0.999634392372649,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep38,0.0011467094529561,0.998853290547044,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep39,0.0009998282418636,0.999000171758136,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep4,0.0005875912415143,0.999412408758486,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep40,0.0014924728977669,0.998507527102233,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep41,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep42,0.0002150607060363,0.999784939293964,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep43,0.0003936378474712,0.999606362152529,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep44,0.0012205835938376,0.998779416406162,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep45,7.04622894240605e-05,0.999929537710576,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep46,0.0002620452888912,0.999737954711109,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep47,0.0002350573984257,0.999764942601574,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep48,0.0014911987661327,0.998508801233867,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep49,0.0014568805160272,0.998543119483973,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep5,0.0012570803526479,0.998742919647352,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep50,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep51,0.0015365344883351,0.998463465511665,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep52,0.0003530312160257,0.999646968783974,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep53,0.0,1.0,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep54,0.0009673297049712,0.999032670295029,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep55,0.000984501373383,0.999015498626617,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep56,0.0013778155425441,0.998622184457456,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep57,7.60992232826092e-05,0.999923900776717,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep58,0.0003431085404365,0.999656891459563,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep59,0.0013891857511096,0.99861081424889,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep6,0.0002603678340435,0.999739632165956,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep60,0.0007070841153058,0.999292915884694,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep7,0.0005010871036588,0.999498912896341,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep8,0.0012375584252932,0.998762441574707,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-11_rep9,0.0002943682847608,0.999705631715239,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep1,0.0017114430747308,0.998288556925269,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep10,0.0027107172880107,0.997289282711989,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep11,0.0034388732468088,0.996561126753191,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep12,0.0033256899091666,0.996674310090833,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep13,0.0018963444104464,0.998103655589553,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep14,0.0023717268139909,0.997628273186009,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep15,0.0026774602235642,0.997322539776436,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep16,0.0024243714933165,0.997575628506683,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep17,0.0035282650843206,0.996471734915679,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep18,0.002746396927452,0.997253603072548,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep19,0.00307901628238,0.99692098371762,MeDeCom,,,3,10
20M_mix_Bmap_CLBGA_0-3_rep2,0.0027107325917157,0.997289267408284,MeDeCom,,,3,10
